feature,importance
V13,0.005327233928255737
P9_mean_20d_mom_20d,0.003030953975394368
M4,0.002682656011893414
E19,0.0024161799636203797
P6_acc_5d,0.0021852859761565925
P5_mean_5d,0.0021171639673411846
P4_lag5,0.0018960460554808378
P11_std_5d,0.0018837200477719307
P8,0.0017916740383952857
P6_mom_20d,0.0017127980012446643
P10_std_5d_acc_5d,0.0016636019572615623
P6_mean_5d,0.0016302280128002167
P13_mean_20d,0.0015884799882769584
P10,0.0015233860351145268
V13_rank_200d,0.001506925979629159
P11,0.0015038799960166217
P12_pct_chg_5d_mom_20d,0.0014879240188747644
P8_std_60d_mom_20d,0.0014770919689908624
P6_lag1_mom_20d,0.0014128919690847396
P10_mean_20d,0.0013706640107557177
P11_zscore_20d,0.0013405820121988655
I2,0.0013130880193784832
P12_mom_20d,0.0012049622135236859
P13_std_20d_acc_5d,0.0011361644021235407
P3_lag5,0.00112850998993963
P2_std_5d,0.0010792880319058895
V7,0.0010753727867268026
P6,0.0010699325939640403
P13_mean_20d_acc_5d,0.0010460546473041177
M12_rel_20d,0.0010372660122811793
P7,0.001023230003193021
P11_mean_60d_mom_20d,0.0010185876279138028
P4_pct_chg_5d_mom_20d,0.000999573990702629
P2_mean_60d,0.0009906820021569728
P8_mean_60d_acc_5d,0.000985603965818882
I4_rank_60d,0.0009849339723587037
P12_zscore_20d,0.0009660420008003711
P10_zscore_20d,0.00096370741375722
I3_rank_200d,0.000948556000366807
P5_mom_20d,0.00093606598675251
V7_rank_200d,0.0009218899765983223
P13_lag1_acc_5d,0.0009118799818679691
P1_std_60d_acc_5d,0.0008777800016105175
P8_lag20_acc_5d,0.0008616459788754582
P6_mean_20d_acc_5d,0.0008602683781646192
P11_lag1_acc_5d,0.0008558101952075958
P7_zscore_20d_mom_20d,0.0007981419796124101
M7,0.0007872799877077341
E18,0.0007796599995344878
P5_lag1,0.0007786159869283438
P1_std_5d,0.0007605839986354112
P12_mean_20d_acc_5d,0.0007564680185168981
P3_mean_5d,0.0007480881817173213
P13_mean_60d,0.0007473200093954802
P10_lag20,0.0007271595823112875
market_forward_excess_returns_lag20,0.0007181648164987564
P10_pct_chg_5d,0.0007107412093318999
P11_std_20d,0.000700137997046113
E2,0.0006900819716975093
P4_std_20d_mom_20d,0.0006834059953689575
P7_std_60d_mom_20d,0.000674527999944985
market_forward_excess_returns_lag1_rank_200d,0.0006577820051461459
P8_lag5_acc_5d,0.0006519679911434651
P5_mean_60d_mom_20d,0.0006456559989601373
P5_lag5,0.00064350301399827
P6_pct_chg_5d,0.0006328320130705833
P7_zscore_20d_acc_5d,0.0006326140020973981
P11_lag1,0.0006164819933474064
P13_zscore_20d_mom_20d,0.0005605825921520591
P10_mean_5d_acc_5d,0.0005310419830493629
P8_std_60d,0.0005203119944781065
P5_mean_20d_acc_5d,0.000515295984223485
P12_std_60d_acc_5d,0.0005147720221430063
E19_rate_product,0.0005101739894598723
P8_mean_5d,0.0005089079961180687
P12_std_20d_mom_20d,0.0004995348048396408
E16,0.00048648999072611334
P4_std_60d_acc_5d,0.0004839919973164797
E3,0.00048043201677501203
P7_mean_5d,0.00047990479506552217
P7_mom_20d,0.0004694497911259532
P12_mean_20d,0.00045316400937736037
P10_std_20d_mom_20d,0.00045315399765968325
P5_std_5d,0.0004493152024224401
P7_mean_60d_mom_20d,0.00044926798436790706
P13_std_60d_acc_5d,0.00044170839828439057
P9_lag5_mom_20d,0.00043472400866448877
P11_lag5,0.0004217579960823059
P8_pct_chg_5d,0.00042170139495283364
M18_rel_20d,0.0004211260005831718
P9,0.00041729798540472983
P2_lag5,0.0004157380200922489
P1_lag20_acc_5d,0.00041372859268449245
P6_mean_20d_mom_20d,0.0004091675858944654
P10_std_60d,0.0003996680025011301
P10_pct_chg_5d_acc_5d,0.000393339991569519
P9_std_20d_mom_20d,0.0003914299886673689
P2_std_5d_mom_20d,0.0003865600097924471
P11_pct_chg_5d,0.0003850060049444437
P9_std_5d_acc_5d,0.00038128800224512815
M2_rel_60d,0.00037467560032382606
P8_mom_20d,0.0003723379923030734
