Top 20 Cross-Category Correlated Feature Pairs:
1. market_forward_excess_returns - forward_returns: 0.9999
2. M16 - V11: 0.9340
3. P11 - E3: 0.8705
4. P11 - E2: 0.8670
5. M1 - V10: 0.8567
6. E19 - V7: 0.8302
7. V9 - E19: 0.7985
8. M1 - V9: 0.7693
9. E3 - P10: 0.7635
10. V1 - M14: 0.7569
11. P10 - E2: 0.7452
12. V7 - M1: 0.7385
13. M11 - P2: 0.7258
14. V10 - E19: 0.7217
15. M16 - date_id: 0.7172
16. M14 - V11: 0.7018
17. E2 - M14: 0.6782
18. V13 - E19: 0.6717
19. V10 - M13: 0.6682
20. P8 - E3: 0.6674
21. M16 - V1: 0.6667
22. V8 - M16: 0.6667
23. P9 - E15: 0.6664
24. V11 - date_id: 0.6639
25. V2 - M14: 0.6472
26. P8 - E20: 0.6420
27. M14 - V4: 0.6348
28. P8 - E2: 0.6304
29. V9 - M13: 0.6085
30. V3 - M14: 0.5976
31. P10 - E20: 0.5970
32. V8 - date_id: 0.5860
33. P11 - E20: 0.5823
34. P5 - S8: 0.5804
35. E8 - V9: 0.5801
36. date_id - V1: 0.5791
37. date_id - V6: 0.5789
38. M17 - I4: 0.5735
39. S1 - E18: 0.5707
40. M11 - V9: 0.5707
41. M1 - E19: 0.5617
42. P6 - E19: 0.5584
43. date_id - V12: 0.5558
44. M3 - V10: 0.5541
45. E20 - I5: 0.5467
46. V13 - M1: 0.5458
47. I9 - E20: 0.5452
48. I5 - P10: 0.5412
49. I9 - P10: 0.5405
50. M3 - V9: 0.5316
51. E5 - M18: 0.5312
52. M17 - E15: 0.5299
53. M18 - I6: 0.5247
54. E8 - V10: 0.5240
55. M5 - E20: 0.5128
56. V7 - M13: 0.5114
57. P9 - M17: 0.4985
58. M17 - I8: 0.4897
59. I5 - P8: 0.4890
60. E10 - V2: 0.4887
61. P2 - V9: 0.4885
62. M5 - E3: 0.4883
63. I9 - P8: 0.4879
64. risk_free_rate - P8: 0.4865
65. S8 - V5: 0.4842
66. E10 - V4: 0.4841
67. E3 - S8: 0.4780
68. S6 - P13: 0.4689
69. E2 - M5: 0.4677
70. S8 - E2: 0.4669
71. M7 - E18: 0.4652
72. E17 - M7: 0.4620
73. M3 - E8: 0.4578
74. date_id - E9: 0.4574
75. I5 - P11: 0.4553
76. I9 - P11: 0.4544
77. I5 - M16: 0.4535
78. P11 - M14: 0.4535
79. I9 - M16: 0.4524
80. V12 - M16: 0.4508
81. V7 - P6: 0.4484
82. P1 - I3: 0.4480
83. S1 - M12: 0.4475
84. M4 - P7: 0.4472
85. M3 - V7: 0.4462
86. M14 - V8: 0.4446
87. E16 - S8: 0.4416
88. V6 - E9: 0.4410
89. I2 - E5: 0.4400
90. M14 - E17: 0.4394
91. P10 - risk_free_rate: 0.4382
92. E10 - V3: 0.4336
93. P5 - S2: 0.4317
94. M14 - E18: 0.4305
95. E6 - M17: 0.4305
96. M5 - P11: 0.4297
97. E3 - M14: 0.4270
98. M1 - E8: 0.4260
99. M13 - I6: 0.4251
100. date_id - S12: 0.4230
101. M6 - E18: 0.4193
102. E2 - M6: 0.4162
103. P6 - V13: 0.4162
104. I5 - V11: 0.4162
105. I4 - M10: 0.4155
106. I9 - V11: 0.4152
107. S9 - M8: 0.4134
108. P9 - I4: 0.4123
109. P8 - S8: 0.4086
110. I8 - P9: 0.4081
111. date_id - M8: 0.4065
112. V13 - M13: 0.4051
113. I1 - E10: 0.4005
114. I6 - M5: 0.3983
115. M12 - E15: 0.3976
116. M14 - E16: 0.3934
117. I4 - E6: 0.3931
118. P8 - E7: 0.3931
119. S8 - E17: 0.3921
120. V9 - P6: 0.3920
121. E11 - P1: 0.3909
122. P11 - S8: 0.3899
123. E10 - P10: 0.3898
124. M18 - V7: 0.3886
125. P11 - S3: 0.3876
126. I8 - E15: 0.3873
127. P1 - V10: 0.3833
128. M9 - E5: 0.3810
129. M5 - date_id: 0.3803
130. E2 - M16: 0.3798
131. E6 - risk_free_rate: 0.3798
132. E6 - M10: 0.3787
133. I4 - E15: 0.3784
134. P1 - E12: 0.3774
135. S3 - P5: 0.3774
136. M10 - E2: 0.3771
137. M17 - S8: 0.3769
138. E9 - V12: 0.3744
139. I8 - E6: 0.3736
140. I2 - M11: 0.3735
141. risk_free_rate - P11: 0.3729
142. E18 - M12: 0.3716
143. risk_free_rate - E20: 0.3712
144. M13 - S1: 0.3701
145. S7 - E5: 0.3686
146. E8 - P2: 0.3675
147. S9 - date_id: 0.3652
148. V11 - E2: 0.3647
149. I6 - M9: 0.3625
150. M11 - E15: 0.3624
151. E6 - P11: 0.3595
152. I9 - E5: 0.3576
153. E5 - I5: 0.3569
154. P10 - E7: 0.3566
155. I8 - M10: 0.3563
156. I6 - E12: 0.3550
157. E16 - M6: 0.3547
158. P11 - M16: 0.3546
159. M6 - E17: 0.3542
160. V7 - E5: 0.3538
161. P5 - M17: 0.3520
162. P13 - S4: 0.3518
163. risk_free_rate - I9: 0.3508
164. risk_free_rate - I5: 0.3501
165. M7 - E20: 0.3497
166. M14 - E6: 0.3492
167. M5 - P10: 0.3492
168. M10 - E3: 0.3484
169. V9 - M18: 0.3473
170. I6 - E11: 0.3473
171. S4 - P2: 0.3465
172. P9 - M11: 0.3464
173. M17 - E9: 0.3461
174. E17 - M17: 0.3454
175. S3 - V5: 0.3415
176. E16 - M7: 0.3413
177. M7 - S1: 0.3410
178. P2 - S11: 0.3407
179. S11 - P13: 0.3405
180. S4 - date_id: 0.3403
181. V7 - S7: 0.3379
182. V11 - S12: 0.3378
183. date_id - S10: 0.3364
184. S3 - E2: 0.3353
185. I5 - date_id: 0.3352
186. I9 - date_id: 0.3351
187. P11 - V11: 0.3340
188. M3 - E19: 0.3339
189. risk_free_rate - E3: 0.3332
190. M8 - V1: 0.3323
191. M10 - S8: 0.3318
192. S12 - M16: 0.3290
193. V10 - M5: 0.3290
194. S7 - M14: 0.3281
195. M17 - I7: 0.3279
196. I4 - E10: 0.3265
197. M16 - P10: 0.3261
198. M11 - E8: 0.3260
199. P2 - S9: 0.3252
200. S6 - P1: 0.3249
201. V10 - M17: 0.3249
202. E2 - I5: 0.3233
203. V12 - E7: 0.3232
204. E3 - S3: 0.3230
205. E2 - I9: 0.3221
206. I7 - E6: 0.3218
207. V10 - P6: 0.3214
208. P2 - S10: 0.3211
209. P13 - S10: 0.3204
210. I3 - E12: 0.3194
211. P10 - V11: 0.3191
212. E19 - M13: 0.3155
213. E8 - M13: 0.3135
214. I3 - M10: 0.3122
215. V10 - I6: 0.3120
216. S8 - P10: 0.3111
